32	32
21	24	-61	-56	-52	6
23	17	-58	-55	-49	3
4	3	18	19	20	1
13	3	37	17	12	2
24	11	-46	-46	-42	7
17	1	18	18	19	6
23	11	-55	-53	-48	2
17	1	25	26	24	2
19	6	63	76	89	0
2	0	16	15	15	0
23	24	-62	-60	-55	7
0	17	-1	-28	-46	6
17	1	8	8	7	3
23	21	-60	-55	-49	3
19	1	15	16	13	1
23	18	-53	-49	-43	3
10	14	64	120	145	1
3	1	44	28	22	6
14	21	51	40	25	5
16	3	15	3	-2	4
12	15	75	73	53	4
23	7	28	26	25	0
24	7	25	28	25	0
24	7	29	29	26	0
19	6	45	64	85	7
24	4	52	31	23	5
9	12	26	16	13	1
16	4	44	2	6	6
24	0	25	-19	-9	4
0	24	45	25	28	6
23	23	34	38	38	0
23	23	45	42	40	0
17	0	57	77	106	7
3	19	25	22	20	6
20	0	9	-25	-20	7
19	1	37	-14	0	4
16	3	45	10	22	4
18	13	28	16	19	0
23	23	47	47	43	6
22	23	45	44	40	2
22	12	-6	12	31	6
3	19	31	37	32	0
22	17	-45	-83	-68	6
2	1	13	-22	-15	5
18	24	77	36	47	1
19	14	46	38	37	6
23	23	42	42	38	2
24	14	40	38	34	0
23	9	6	8	9	5
20	1	83	85	80	5
14	3	26	3	3	7
24	3	21	-12	-21	4
4	10	32	14	10	3
20	24	42	39	36	5
22	21	40	38	36	0
24	20	44	42	40	0
22	19	6	12	15	0
24	2	88	87	84	0
24	3	-21	-24	-22	7
11	17	-5	23	15	3
24	3	-7	-17	-16	6
22	18	29	34	32	6
21	19	36	40	37	2
21	19	43	47	44	4
